productName,productQuantity,productPrice,productPromotion,productPromotionDuration
Kleenex Ultra Soft Tissue Soft Pack - Floral (3ply),4 x 50 per pack,$2.04,,
Meiji Printed Biscuits - Autoland,70g,$1.37,,
Campbell's Instant Soup - Wild Mushroom,3 x 16.8g,$2.57,,
"Haagen-Dazs Ice Cream - Caramel, Biscuit & Cream",473ml,$14.77,,
Binggrae Melona Stickbar Ice Cream - Melon,8 x 80ml,$7.80,Save$0.85,Till 1st Jul 2025
Codfo Chopped Pork and Ham,340g,$3.15,Save$0.87,Till 1st Jul 2025
Ajinomoto Monosodium Glutamate (MSG),500g,$4.02,,
Cheetos Cheese Flavoured Snacks - Puffs,220g,$5.85,,
Ah Huat Instant Traditional Black Coffee - Kopi O with Sugar,20 x 20g,$5.55,,
Snickers Chocolate Bar - Single,51g,$2.00,,
Beryl's Bittersweet Chocolate - Almond,450g,$11.11,,
Kikkoman Soy Sauce - Naturally Brewed,250ml,$4.62,,
Magiclean Bathroom Stain & Mold Remover Refill,2 x 400ml,$7.97,,
Pokka Packet Drink - Kiyo Kyoho Grape,24 x 250ml (CTN),$12.40,Save$2.16,Till 1st Jan 2026
Kikkoman Soy Sauce,150ml,$3.72,,
Meiji Low Fat Fresh Milk - Strawberry,200ml,$1.28,,
Beryl's Milk Chocolate - Almond,450g,$11.11,,
Asahi Can Beer - Super Dry,24 x 330ml (CTN),$88.81,,
Meiji Bulgaria Yoghurt - Natural,2 x 110g,$2.85,Save$1.17,Till 1st Jul 2025
Storck Werther's Original Sugar Free Cream Candies - Classic,70g,$2.50,,
Meiji Hello Panda Biscuits - Chocolate,360g,$7.95,,
Codfo Chopped Pork and Ham,198g,$2.50,,
Munchy's Funmix Assorted Biscuits,500g,$4.49,,
Prego Pasta - Spaghetti,500g,$2.30,,
Munchy's Crackers - Sugar,390g (3 per pack),$3.13,,
Samyang Hot Chicken Instant Ramen - Bowl,105g,$3.03,,
Samyang Hot Chicken Instant Ramen - Carbo (Bowl),105g,$3.03,,
Nissin Big Instant Cup Noodles - Japanese Cheese Curry,111g,$2.42,,
General Mills Lucky Charms Cereal - Whole Grain,297g,$14.95,,
Magiclean Wiper Wet Sheet - Lemongrass & Bergamot,16 per pack,$8.70,Save$0.52,Till 1st Jul 2025
Qingdao Lao Te Can Beer,6 x 330ml,$10.90,Save$2.63,Till 1st Jul 2025
Meiji Bulgaria Yoghurt - Golden Honey,2 x 110g,$2.85,Save$1.17,Till 1st Jul 2025
Nissin Instant Japanese Ramen - Uma-Kara Spicy,5 x 106g,$3.99,Save$0.34,Till 1st Jul 2025
3M Scotch-Brite Single Spin Mop Refill,1 per pack,$11.61,,
Kewpie Dressing - Roasted Sesame,210ml,$4.95,,
Lotte Pepero Stick Biscuits - Choco Cookie,32g,$1.52,,
Samyang Hot Chicken Instant Ramen - Carbo,5 x 130g,$7.30,Save$1.68,Ends in 1 day 5 hours
Yakult Cultured Milk Bottle Drink - Grape,5 x 100ml,$3.53,,
Yakult Cultured Milk Bottle Drink - Original,5 x 100ml,$3.53,,
Want Want Rice Cracker - Snow,84g,$2.09,,
NIssin Cup Noodles Potato Chips - Black Pepper Crab,70g,$1.64,,
Prego Buddies Kids Shaped Pasta - Space,200g,$1.79,,
Birds Eye Frozen Breaded Fish Fingers - Omega 3,280g,$8.95,Save$5.21,Till 1st Jul 2025
Pokka Packet Drink - Ice Peach Tea (Less Sugar),6 x 250ml,$3.15,Save$0.45,Till 1st Jul 2025
Meiji Fresh Milk - Chocolate,946ml,$3.63,,
Nissin Instant Bowl Noodle - Kyushu Black,110g,$1.82,Save$0.62,Till 1st Jul 2025
Nongshim Shin Ramyun Instant Noodle - Spicy Mushroom (Halal),5 x 120g,$5.50,,
Glico Pretz Stick Biscuit - Pizza,31g,$0.97,,
Nongshim Shin Ramyun Instant Noodle - Kimchi (Halal),5 x 120g,$5.50,,
Kang Shi Fu Instant Noodles - Roasted Beef,5 x 103g,$3.99,,
Pokka Packet Drink - Ice Blueberry Tea (Less Sugar),6 x 250ml,$3.15,Save$0.45,Till 1st Jul 2025
Pokka Bottle Drink - Green Tea Peppermint,1.5L,$2.10,Save$0.40,Till 1st Jul 2025
Meiji Chocolate - Macadamia,64g,$3.66,,
Starbucks Coffee Capsules - Americano (House Blend),12 per pack,$9.45,,
Pokka Natsbee Bottle Drink - Honey Yuzu,1.5L,$1.95,Save$0.62,Till 1st Jul 2025
Pokka Coffee Can Drink - Premium Cappuccino,6 x 240ml,$6.25,Save$1.31,Till 1st Jul 2025
Nissin Instant Japanese Ramen - Hokkaido Miso,113g,$1.82,Save$0.62,Till 1st Jul 2025
Starbucks Coffee Capsules - Caramel Macchiato,12 per pack,$9.45,,
Pokka Bottle Drink - Japanese Roasted Tea Houjicha,1.5L,$2.10,Save$0.40,Till 1st Jul 2025
Pokka Packet Drink - Natsbee Honey Yuzu,6 x 250ml,$3.68,,
Pokka Coffee Can Drink - Milk Coffee (Less Sugar),6 x 240ml,$6.25,Save$1.31,Till 1st Jul 2025
Old Town 3 in 1 Instant Premix Milk Tea - Teh Tarik,13 x 30g,$7.25,Save$0.80,Till 1st Aug 2025
Haday Superior Oyster Sauce,700g,$1.50,Save$1.70,Till 1st Aug 2025
Old Town 3 in 1 Instant Premix Milk Tea - Hong Kong Style,13 x 35g,$7.25,Save$0.80,Till 1st Aug 2025
3M Scotch-Brite Easy Sweeper Plus Sheets Refill - Wet,20 per pack,$14.83,,
