name,supermarket,quantity,price,promotion_description,promotion_end_date_text,product_url,image_url
I'm Bulgogi Frozen Marinated Meat - Spicy Pork,FairPrice,300g,$9.40,,,https://www.fairprice.com.sg/product/i-m-bulgogi-frozen-marinated-meat-spicy-pork-300g-13093506,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13093506_XL1_20250619.jpg?w=400&q=70
I'm Bulgogi Frozen Marinated Meat - Galbi Chicken,FairPrice,300g,$9.40,,,https://www.fairprice.com.sg/product/i-m-bulgogi-frozen-marinated-meat-galbi-chicken-300g-13258397,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13258397_XL1_20250619.jpg?w=400&q=70
I'm Bulgogi Frozen Marinated Meat - Spicy Chicken,FairPrice,300g,$9.40,,,https://www.fairprice.com.sg/product/i-m-bulgogi-frozen-marinated-meat-spicy-chicken-300g-13093509,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13093509_XL1_20250619.jpg?w=400&q=70
Magiclean Toilet Bleach Power Cleaner,FairPrice,3 x 500ml,$9.43,,,https://www.fairprice.com.sg/product/magiclean-toilet-bleach-triple-pack-500ml-11951709,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11951709_XL1_20250617.jpg?w=400&q=70
I'm Bulgogi Frozen Marinated Meat - Chicken,FairPrice,300g,$9.40,,,https://www.fairprice.com.sg/product/i-m-bulgogi-frozen-marinated-meat-chicken-300g-13093508,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13093508_XL1_20250619.jpg?w=400&q=70
Kleenex Facial Tissue Box - Lifestyle (3ply),FairPrice,5 x 100 per pack,$6.57,,,https://www.fairprice.com.sg/product/kleenex-ultrasoft-3ply-vin-facial-tissue-5pk-x-100s-13017673,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13017673_XL1_20250522.jpg?w=400&q=70
Dettol Anti-Bacterial Trigger Spray - Bathroom,FairPrice,500ml,$7.16,,,https://www.fairprice.com.sg/product/dettol-anti-bacterial-trigger-spray-bathroom-500ml-13080542,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13080542_XL1_20220817.jpg?w=400&q=70
Coca-Cola Mini Can Drink - Classic,FairPrice,6 x 180ml,$4.95,,,https://www.fairprice.com.sg/product/coca-cola-mini-can-drink-classic-6-x-180ml-13145828,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13145828_XL1_20250616.jpg?w=400&q=70
Kleenex Toilet Tissue Rolls - Ultra Soft (3 ply),FairPrice,20 x 200 per pack,$14.35,Save$0.71,Till 1st Jul 2025,https://www.fairprice.com.sg/product/kleenex-toilet-tissue-rolls-ultra-soft-3-ply-20-x-200-per-pack-13093697,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13093697_XL1_20250522.jpg?w=400&q=70
Kirin Ichiban Lager Beer,FairPrice,6 x 350ml,$18.90,Save$4.32,Till 1st Jul 2025,https://www.fairprice.com.sg/product/kirin-original-brew-draft-beer-canned-6s-x-350ml-13014650,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13014650_XL1_20250108.jpg?w=400&q=70
