productName,productPrice,productUnit,productPromotion,productPromotionDuration,productPromotionGroup,url,error
Royal Umbrella Thai Hom Mali Rice,$14.95,5kg,Save $2,,,https://www.fairprice.com.sg/product/royal-umbrella-thai-hom-mali-rice-13111322,False
FairPrice 100% Coconut Water,$3.56,1L,Buy3 At $7.50,,,https://www.fairprice.com.sg/product/fairprice-100-coconut-water-1l-1l-13093717,False
FairPrice Pure Drinking Water,$5.50,12 x1.5L (CTN),Save $0.50,,,https://www.fairprice.com.sg/product/fairprice-pure-drinking-bottle-water-12-x-1-5l-ctn-12709930,False
Pasar White Button Mushroom,$3.50,200g,,,,https://www.fairprice.com.sg/product/pasar-white-button-mushroom-200g-13101275,False
China Shanghai Green Baby,$1.97,300g,Buy2 At $3.65,,,https://www.fairprice.com.sg/product/china-shanghai-green-baby-300g-12156192,False
FairPrice Premium Kitchen Towel,$5.85,8 per pack,Buy2 At $10.50,,,https://www.fairprice.com.sg/product/fairprice-premium-kitchen-towel-8-per-pack-13189468,False
CocoThumb Fresh Coconut,$3.90,1 per pack,Buy2 At $6.25,,,https://www.fairprice.com.sg/product/coco-thumb-fresh-coconut-1-per-pack-13167850,False
Fairprice Onwards Toilet Tissue Roll -3 Ply,$15.95,30 x220 per pack,Save $2.87,,,https://www.fairprice.com.sg/product/fairprice-onwards-toilet-tissue-roll-3-ply-30-x-220-per-pack-13004987,False
PurSoft Tissue Soft Pack - Outdoor (3 ply),$5.34,4 x120 per pack,Any2 At $8.95,,,https://www.fairprice.com.sg/product/pursoft-tissue-soft-pack-outdoor-3-ply-4-x-120-per-pack-13099154,False
Orgo Fresh Royal Broccoli,$2.99,280 G,Save $1,"By Wed,11 Jun",,https://www.fairprice.com.sg/product/orgo-fresh-royal-broccoli-280-g-90153099,False
Anlene Actifit3X Adult Milk Powder - Plain,$22.56,1kg,Spend $69 Free gift,,,,False
Magnolia Low Fat Milk - Earl Grey,$3.63,946ml,Any2 At $6.55,,,https://www.fairprice.com.sg/product/magnolia-low-fat-milk-earl-grey-946ml-13269797,False
Birds Eye Cod Fish Fingers,$14.25,504g,Save $8.40,,,https://www.fairprice.com.sg/product/birds-eye-cod-fish-fingers-504g-13255525,False
Tay Chicken Twistees - Garlic Aioli,$7.20,350g,Buy1 50% Off,,,https://www.fairprice.com.sg/product/t-c-twiste-garlic350-13255524,False
South Africa Fuji Apple,$3.95,6 per pack,Save $0.55,,,https://www.fairprice.com.sg/product/south-africa-fuji-apple-6-per-pack-13232786,False
Royal Umbrella Thai Hom Mali Rice,$14.95,5kg,Save $2,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13111322_XL1_20250609.jpg?w=320&q=60,False
FairPrice 100% Coconut Water,$3.56,1L,Buy3 At $7.50,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13093717_XL1_20250609.jpg?w=320&q=60,False
FairPrice Pure Drinking Water,$5.50,12 x 1.5L (CTN),Save $0.50,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12709930_XL1_20250217.jpg?w=320&q=60,False
Pasar White Button Mushroom,$3.50,200g,,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13101275_XL1_20250530.jpg?w=320&q=60,False
China Shanghai Green Baby,$1.97,300g,Buy2 At $3.65,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12156192_XL1_20221122.jpg?w=320&q=60,False
Pasar Longan,$4.85,850g,Save $0.95,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13132201_XL1_20250522.jpg?w=320&q=60,False
CocoThumb Fresh Coconut,$3.90,1 per pack,Buy2 At $6.25,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13167850_XL1_20250609.jpg?w=320&q=60,False
Vegeponics Pesticide-Free Crystal Lettuce (SG Local),$2.33,120 G,Save $1.67+1,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90065990_XL1_20250609.jpg?w=320&q=60,False
Zespri New Zealand Kiwifruit - Green,$4.50,4 -6 per pack,Save $0.95,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13045571_XL1_20250609.jpg?w=320&q=60,False
FairPrice Thai Brown Unpolished Rice,$11.95,5kg,Save $1.50,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13181370_XL1_20250609.jpg?w=320&q=60,False
Nescafe Instant Singapore Kopi - Kopi-O (Gao Siew Dai),$4.90,15 x14g,Any2 At $7.85 +1,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13130206_XL1_20250609.jpg?w=320&q=60,False
Aw's Market Fresh Australia Pork Belly,$6.26,250 G,Save $3.68+2,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90187506_XL1_20250609.jpg?w=320&q=60,False
Jack 'n Jill Potato Chips - Barbecue (Funpack),$3.05,8 x15g,Buy2 At $5.30,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12294499_XL1_20221122.jpg?w=320&q=60,False
San Benedetto Natural Mineral Water - Sparkling,$9.95,6 x1.5L (CTN),Save $4.26,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11926132_XL1_20250609.jpg?w=320&q=60,False
Johnsonville Smoked Pork Sausage - Beddar with Cheddar,$9.50,360g,Save $2.15,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13002865_XL1_20250609.jpg?w=320&q=60,False
Italy Red Pop Apple,$5.95,700g,,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13228441_XL1_20250609.jpg?w=320&q=60,False
Seara Boneless Chicken Leg (240-260g per piece),$11.40,2 KG,Save $8.78,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90187606_XL1_20250609.jpg?w=320&q=60,False
Jack 'n Jill Potato Chips - Salsa Chili (Funpack),$3.05,8 x15g,Buy2 At $5.30,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12294464_XL1_20221122.jpg?w=320&q=60,False
